"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"61 Telecommunications";"x 1 000";"32.6";"33.6"
"Labour volume persons employed";"Employed person";"62-63 IT- and information services";"x 1 000";"172.1";"176.0"
"Labour volume persons employed";"Employed person";"62 Support activities in the field of IT";"x 1 000";"159.4";"160.8"
"Labour volume persons employed";"Employed person";"63 Information service activities";"x 1 000";"12.8";"15.2"
"Labour volume persons employed";"Employed person";"L Renting, buying, selling real estate";"x 1 000";".";"."
"Labour volume persons employed";"Employed person";"68 Renting, buying, selling real estate";"x 1 000";".";"."
"Labour volume persons employed";"Employed person";"69 Legal services, administration etc.";"x 1 000";"143.3";"141.7"
"Labour volume persons employed";"Employed person";"691 Legal activities";"x 1 000";"48.8";"49.0"
"Labour volume persons employed";"Employed person";"692 Accounting, administration etc.";"x 1 000";"94.4";"92.7"
"Labour volume persons employed";"Employed person";"70102 Holding companies (not financial)";"x 1 000";"17.3";"19.2"
"Labour volume persons employed";"Employed person";"702 Management and business consultancy";"x 1 000";"126.4";"133.2"
"Labour volume persons employed";"Employed person";"71 Architects, technical services etc.";"x 1 000";"127.8";"127.8"
"Labour volume persons employed";"Employed person";"711 Architects, engineers etc.";"x 1 000";"112.6";"112.1"
"Labour volume persons employed";"Employed person";"7111 Architects";"x 1 000";"14.7";"13.6"
"Labour volume persons employed";"Employed person";"7112 Engineers and technical consultancy";"x 1 000";"97.9";"98.5"
"Labour volume persons employed";"Employed person";"712 Technical testing and analysis";"x 1 000";"15.2";"15.7"
"Labour volume persons employed";"Employed person";"72 Research and development";"x 1 000";"32.6";"32.8"
"Labour volume persons employed";"Employed person";"73-75 Advertising, design and other";"x 1 000";"108.2";"117.9"
